session_id	live	track	session_level	session_title	session_abstract	prereq	tags	speaker_id	speaker_name	room	preso	youtube_url	home_featured	session_screenshot	livestream														
224	Y	Chrome	Advanced	Breaking the JavaScript Speed Limit with V8	"Are you are interested in making JavaScript run blazingly fast in Chrome? This talk takes a look under the hood in V8 to help you identify how to optimize your JavaScript code. We'll show you how to leverage V8's sampling profiler to eliminate performance bottlenecks and optimize JavaScript programs, and we'll expose how V8 uses hidden classes and runtime type feedback to generate efficient JIT code.

Attendees will leave the session with solid optimization guidelines for their JavaScript app and a good understanding on   how to best use performance tools and JavaScript idioms to maximize the performance of their application with V8."		JavaScript, Performance, Web Applications	2061		3		http://www.youtube.com/watch?v=UJPdhx5zTaw&feature=plcp																	
200	Y	Chrome	Intermediate	 The Next Evolution of Chrome Apps 	Chrome Packaged Apps are evolving to do more, work seamlessly offline, and give developers more control of their user interface.  Join us for a dive into the developer preview of the next evolution of Chrome Apps and learn how you can start doing things you never thought possible using web technologies.		HTML5, Chrome Platform Apps.	2172, 2323		4	https://github.com/GoogleChrome/chrome-app-samples/tree/master/io2012-presentation	https://www.youtube.com/watch?v=j8oFAr1YR-0			3Mnz_QaB31Q														
201	Y	Chrome	Intermediate	Turning Your Web App into a ChromeApp 	Chrome Apps are evolving to do more, work seamlessly offline, and give developers more control of their user interface. Join Pete LePage as he shows you how to build Chrome Apps and learn how you can start doing things you never thought possible using web technologies.		HTML5, Chrome Platform App	2010		3		http://www.youtube.com/watch?v=TEwpppxgZhM																	
202	Y	Chrome	Intermediate	Native Client LIVE	"In this talk, we will be porting an application to Native Client in 60 minutes, LIVE; showing the power of what Native Client can provide for traditional C++ developers looking to move to the web. In the porting process we'll cover specific tasks that a developer would need to perform during a port, and how to to address them with new tools and technologies including debugging integration with Visual Studio and a set of newly added utility libraries to the SDK.

Attendees to this session will walk away with a clear understanding of what's required to port their applications to Native Client so that they can start their own projects"		Google Chrome, Native Client (NaCl)	2173, 2203		3		http://www.youtube.com/watch?v=1zvhs5FR0X8																	
203	Y	Chrome	Advanced	Life of a Native Client Instruction	"Native Client brings native code to the web - as safely and securely as JavaScript.  However, code run by Native Client must follow a few rules to ensure safety and to guarantee that the code integrates smoothly with a web application.

This session will follow a line of code throughout its lifecycle: compiled, loaded across the network, and run on a user’s machine.  Along the way, the nuts and bolts of Native Client’s security mechanisms will be explored, as well as the APIs that let native code integrate with the web rather than be tied to a particular operating system."		Native Client, PPAPI	2168		11	http://nacl-instruction-io12.appspot.com/	http://www.youtube.com/watch?v=KOsJIhmeXoc																	
204	Y	Chrome	Intermediate	The Web Can Do That!?	"The web is changing so quickly that it's hard to keep up with what's new in the platform. HTML5's new capabilities allow developers to build a whole new suite of applications - things that were once impossible to do, are now a reality.

This session will walk you down the bleeding edge of HTML5 for 2012 by focusing on in-depth techniques, which solve real world challenges. We'll cover media capture, file I/O, advanced usage of websockets, media streaming, device input, multimedia, and modern css design."		html5, performance, web apps, websockets, file, multimedia, graphics	2016		4	http://www.htmlfivecan.com	http://www.youtube.com/watch?v=X_ek1wSe66o&feature=plcp			tPtJd6AzU8c														
205	Y	Chrome	Intermediate	The Web Platform's Cutting Edge	From embeds to widgets to managing complex applications, you constantly face the need for better componentization as a web developer. Many-a-lines of JavaScript have been written to alleviate this problem -- poorly. But help is on the way. The web platform is gaining a powerful new set of capabilities designed to better help you build robust, reusable, and packageable components. We'll cover what they do, their status, and how you can start playing with these powerful emerging technologies today. Most importantly, we'll show you how to get involved and help influence their direction as they mature.		web-components, JavaScript, HTML5	2357, 2205		4		http://www.youtube.com/watch?v=2txPYQOWBtg&feature=plcp			tPtJd6AzU8c														
206	Y	Chrome	Intermediate	Fast UIs for the Cross-Device Web	One of the great features of the modern web is that sites work on any device with a browser. This session will focus on creating UIs for the cross-device web. We will cover building web sites that support multiple device form factors (responsive and non-responsive approaches), discuss single page sites and some of the layout features in modern mobile browsers, and do a deep dive into multi-touch input on the web. Finally, we'll show some of the awesome new mobile debugging tools in Chrome and Chrome for Android.		mobile, owp, web apps	2206		4		http://www.youtube.com/watch?v=ie4I7B-umbA			3Mnz_QaB31Q														
207	Y	Chrome	Advanced	Building High Performance Mobile Web Applications	Learn what it takes to build an HTML5 mobile app that will wow your users. This session will focus on speed, offline support, UI layouts, and the tools necessary to set up a productive development environment.  Come to this session if you're looking to make a killer mobile web app that stands out amongst the competition.		mobile CSS, web apps, owp	2291		3		http://www.youtube.com/watch?v=jD_-r6y558o																	
208	Y	Chrome	Intermediate	What's Next for Chrome Extensions? 	"Chrome's extension system offers developers more opportunities than ever to customize and enhance users' experience on the web. New APIs are landing on a regular basis that provide new functionality and deeper hooks into Chrome itself.
Join us for a walk through bleeding edge changes to Chrome's extension framework that increase security, improve performance, and make it easier than ever for users to get up and running with the product of your hard work."		Extensions, Content Security Policy, HTTPS, Security, Performance, Progress!,The Future™!	2052		3	https://mkw.st/p/io12-whats-next-for-chrome-extensions/	http://www.youtube.com/watch?v=x9KOS1VQgqQ&feature=plcp																	
